0, 74
501, 68
1003, 71
1506, 71
2008, 73
2511, 69
3013, 71
3515, 70
4017, 74
4519, 70
5021, 72
5523, 70
6025, 78
6526, 72
7029, 73
7532, 70
8034, 76
8536, 70
9039, 72
9542, 71
10044, 76
10546, 70
11048, 72
11550, 70
12052, 76
12555, 69
13057, 72
13560, 70
14062, 75
14564, 70
15066, 71
15568, 72
16071, 76
16573, 70
17075, 71
17578, 70
18080, 75
18582, 70
19084, 71
19586, 70
20089, 77
20592, 70
21094, 71
21596, 70
22098, 75
22601, 70
23102, 72
23604, 70
24106, 76
24608, 70
25110, 72
25613, 70
26115, 76
26618, 70
27120, 71
27622, 69
28124, 76
28626, 70
29128, 71
29630, 69
30132, 78
30635, 72
31137, 72
31639, 69
32142, 75
32645, 68
33146, 69
33648, 68
34150, 72
34652, 69
35155, 69
35657, 69
