exp,peers,nlr,failures,crash-timing,vctimeout,datacenters,bandwidth,num-connections,orderer,clients,instances,client-threads,segment,leader-policy,epoch,batchsize,batchtimeout,batchrate,msgbatchperiod,buckets,leader-buckets,authentication,verify-early,throughput-cap,target-throughput,rate-per-client,hard-rate-limit,requests,cl-watermarks,batch-verifier,request-handlers,req-buffer-size,batch-size-10pctile-trunc,batch-size-90pctile-trunc,batch-size-avg-trunc,client-slack-1pctile-raw,client-slack-1pctile-trunc,client-slack-avg-raw,client-slack-avg-trunc,client-slack-stdev-raw,client-slack-stdev-trunc,commit-rate-raw,commit-rate-trunc,cpu-system,cpu-total,duration-raw,duration-trunc,epochs-avg,epochs-max,epochs-min,latency-95pctile-raw,latency-95pctile-raw-nowm,latency-95pctile-shortened-raw,latency-95pctile-trunc,latency-95pctile-trunc-nowm,latency-avg-raw,latency-avg-raw-nowm,latency-avg-shortened-raw,latency-avg-trunc,latency-avg-trunc-nowm,latency-stdev-raw,latency-stdev-raw-nowm,latency-stdev-trunc,latency-stdev-trunc-nowm,msg-batch-avg-trunc,nreq-raw,nreq-trunc,propose-rate-raw,propose-rate-trunc,throughput-raw,throughput-trunc,viewchanges-avg,viewchanges-total
0000,4,1,0,EpochStart,60000,1,1gbit,4,Pbft,1,1,1,64,Simple,256,4096,1000,32,1,64,16,true,false,131072000,128,128,false,7680,4194304,external,32,8192,32,32,32.054054054054056,0,1626,6651.08051948052,6480.446721311476,4826.6674462540805,6039.984407192204,16.454198302307844,16.85102930687781,0.47368421052631576,4.0394736842105265,29.0721,18.055703,0.0,0,0,976.689,975.534,976.689,978.002,977.737,529.7692415584415,529.6461688311688,529.7692415584415,529.2042213114754,529.0767581967214,288.83654690802445,288.79761941620785,289.4818065696271,289.4353936611146,1.8333333333333333,385,244,4.113093622237029,3.8910162114458133,132.4293738670409,135.13735798600587,0.0,0
0001,4,1,0,EpochStart,60000,1,1gbit,4,Pbft,1,1,1,64,Simple,256,4096,1000,32,1,64,16,true,false,131072000,256,256,false,15360,4194304,external,32,8192,64,65,64.10810810810811,-9365,-7561,2751.6059817945384,2731.675564681725,2596.1828739748707,2779.723367064751,16.450819217532512,16.844611890722355,0.6907894736842105,5.703947368421052,29.102266,18.086848,0.0,0,0,996.339,995.818,996.339,996.339,995.818,555.5444824447334,555.399933680104,555.5444824447334,555.1409631147541,555.0011331967213,288.6709026384165,288.6021631862779,289.43743792951517,289.3736457332658,1.0,769,488,4.112173439381045,4.104331439628085,264.2405921243384,269.8093111635593,0.0,0
0002,4,1,0,EpochStart,60000,1,1gbit,4,Pbft,1,1,1,256,Single,256,4096,1000,32,1,16,16,true,false,131072000,128,128,false,7680,4194304,external,32,8192,128,129,128.22222222222223,370,5839,6699.963636363636,6679.987704918033,3778.6122423240126,4386.355015836168,4.1150404334493125,4.228670527129624,0.25,3.2565789473684212,29.078456,18.05557,0.0,0,0,991.314,991.212,991.314,989.027,988.855,547.0442597402597,546.8802753246754,547.0442597402597,546.3828429752066,546.2235867768595,288.6431290488832,288.5908173662709,289.06502802389736,289.02139707160563,None,385,242,1.0286242843006188,1.0570894053331805,132.40042731292198,134.03066200623962,0.0,0
0003,4,1,0,EpochStart,60000,1,1gbit,4,Pbft,1,1,1,256,Single,256,4096,1000,32,1,16,16,true,false,131072000,256,256,false,15360,4194304,external,32,8192,256,257,256.5263157894737,1417,2265,2934.70611183355,3040.759259259259,2378.40562502764,1270.4504005567924,4.113145913477358,4.214507332410948,0.5131578947368421,4.4868421052631575,29.164254,18.120846,0.0,0,0,1043.86,1043.613,1043.86,1041.07,1040.398,594.6218946684005,594.4540936280885,594.6218946684005,590.7510040983607,590.5849139344263,288.14217005125596,288.08861223719276,289.0119604799853,288.9613334454698,None,769,488,1.0281173265061359,1.05364798441577,263.6789543802492,269.3030998663087,0.0,0
