0, 2
5, 1
1001, 2
1002, 1
1006, 1
2010, 1
2012, 1
2025, 1
3013, 1
3014, 1
3016, 1
3017, 1
4013, 1
4016, 1
4018, 1
5016, 1
5017, 1
5020, 1
5021, 1
6018, 1
6021, 1
6026, 1
7015, 1
7023, 1
7026, 1
7030, 1
8025, 2
8028, 1
9013, 1
9028, 1
9033, 1
9037, 1
10029, 1
10031, 1
10033, 1
11017, 1
11036, 1
11038, 1
11046, 1
12032, 1
12033, 1
12048, 1
13016, 1
13037, 1
13042, 1
13049, 1
14037, 1
14039, 1
14052, 1
15016, 1
15039, 1
15042, 1
15055, 1
16040, 1
16043, 1
16060, 1
17015, 1
17041, 1
17046, 1
17067, 1
18044, 1
18048, 1
18068, 1
19015, 1
19049, 1
19051, 1
19079, 1
20048, 1
20050, 1
20077, 1
21014, 1
21051, 1
21056, 1
21080, 1
22052, 1
22054, 1
22081, 1
23014, 1
23055, 1
23063, 1
23084, 1
24059, 1
24060, 1
24085, 1
25015, 1
25064, 1
25066, 1
25088, 1
26062, 1
26066, 1
26091, 1
27014, 1
27065, 1
27069, 1
27094, 1
28067, 1
28071, 1
28095, 1
29017, 1
29072, 1
29074, 1
29101, 1
30071, 1
30074, 1
30099, 1
31016, 1
31074, 1
31077, 1
31102, 1
32069, 1
32072, 1
32095, 1
33003, 1
33070, 1
33073, 1
33097, 1
34113, 1
34114, 2
