0, 10
501, 0
1003, 0
1504, 0
2006, 1
2507, 1
3009, 0
3511, 0
4013, 1
4515, 1
5017, 1
5519, 1
6020, 0
6521, 1
7023, 0
7525, 0
8027, 1
8529, 1
9030, 0
9531, 0
10033, 1
10535, 0
11037, 0
11539, 1
12041, 0
12542, 1
13044, 1
13545, 1
14047, 1
14548, 0
15050, 0
15552, 0
16054, 0
16556, 0
17058, 0
17561, 0
18062, 1
18564, 1
19066, 0
19568, 0
20070, 0
20571, 0
21073, 0
21574, 0
22076, 1
22578, 0
23079, 1
23581, 1
24083, 0
24585, 0
25087, 0
25588, 0
26091, 0
26592, 0
27094, 0
27595, 0
28098, 0
28600, 0
29102, 1
29603, 0
30122, 10
30629, 14
31131, 2
31633, 2
32135, 2
32637, 2
33138, 1
33640, 1
34142, 0
34645, 0
35147, 0
35648, 0
36150, 0
36652, 0
37154, 0
37655, 1
38157, 0
38659, 0
39160, 0
39661, 0
40163, 0
40665, 0
41167, 0
41668, 0
42170, 0
42672, 0
43174, 0
43676, 0
44178, 0
44680, 0
45181, 0
45683, 0
46185, 0
46686, 0
47188, 0
47690, 0
48191, 0
48693, 0
49196, 0
49697, 0
50198, 0
50700, 0
51202, 0
51704, 0
52205, 0
52707, 0
53208, 0
53710, 0
54211, 0
54713, 0
55214, 0
55716, 0
56218, 0
56719, 0
57222, 0
57723, 0
58225, 0
58727, 0
59229, 0
59732, 2
60234, 1
60736, 1
